Date : 2024-09-26 21:00:55
Directory : c:\xampp\htdocs\logistica
Total : 244 files,  25401 codes, 3481 comments, 3214 blanks, all 32096 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\logistica\app\Models\Solicitude.php                                                     | PHP        |         17 |          0 |          6 |         23 |
| c:\xampp\htdocs\logistica\app\Models\TypeCertificate.php                                                | PHP        |         12 |          5 |          6 |         23 |
| c:\xampp\htdocs\logistica\app\Models\TypeClothing.php                                                   | PHP        |         12 |          5 |          5 |         22 |
| c:\xampp\htdocs\logistica\app\Models\User.php                                                           | PHP        |         38 |         16 |          8 |         62 |
| c:\xampp\htdocs\logistica\app\Providers\AppServiceProvider.php                                          | PHP        |         12 |          8 |          5 |         25 |
| c:\xampp\htdocs\logistica\bootstrap\app.php                                                             | PHP        |         14 |          2 |          3 |         19 |
| c:\xampp\htdocs\logistica\bootstrap\providers.php                                                       | PHP        |          4 |          0 |          2 |          6 |
| c:\xampp\htdocs\logistica\composer.json                                                                 | JSON       |         66 |          0 |          1 |         67 |
| c:\xampp\htdocs\logistica\composer.lock                                                                 | JSON       |      7,896 |          0 |          1 |      7,897 |
| c:\xampp\htdocs\logistica\config\app.php                                                                | PHP        |         22 |         82 |         23 |        127 |
| c:\xampp\htdocs\logistica\config\auth.php                                                               | PHP        |         28 |         74 |         14 |        116 |
| c:\xampp\htdocs\logistica\config\cache.php                                                              | PHP        |         57 |         34 |         18 |        109 |
| c:\xampp\htdocs\logistica\config\database.php                                                           | PHP        |        108 |         43 |         23 |        174 |
| c:\xampp\htdocs\logistica\config\filesystems.php                                                        | PHP        |         32 |         32 |         13 |         77 |
| c:\xampp\htdocs\logistica\config\logging.php                                                            | PHP        |         79 |         33 |         21 |        133 |
| c:\xampp\htdocs\logistica\config\mail.php                                                               | PHP        |         55 |         43 |         19 |        117 |
| c:\xampp\htdocs\logistica\config\queue.php                                                              | PHP        |         52 |         44 |         17 |        113 |
| c:\xampp\htdocs\logistica\config\services.php                                                           | PHP        |         20 |         11 |          8 |         39 |
| c:\xampp\htdocs\logistica\config\session.php                                                            | PHP        |         23 |        160 |         35 |        218 |
| c:\xampp\htdocs\logistica\database\factories\UserFactory.php                                            | PHP        |         25 |         14 |          6 |         45 |
| c:\xampp\htdocs\logistica\database\migrations\0001_01_01_000001_create_cache_table.php                  | PHP        |         25 |          6 |          5 |         36 |
| c:\xampp\htdocs\logistica\database\migrations\0001_01_01_000002_create_jobs_table.php                   | PHP        |         46 |          6 |          6 |         58 |
| c:\xampp\htdocs\logistica\database\migrations\2014_10_12_100000_create_password_resets_table.php        | PHP        |         19 |         10 |          4 |         33 |
| c:\xampp\htdocs\logistica\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php | PHP        |         24 |         10 |          4 |         38 |
| c:\xampp\htdocs\logistica\database\migrations\2024_07_31_153542_create_type_certificates_table.php      | PHP        |         19 |         10 |          4 |         33 |
| c:\xampp\htdocs\logistica\database\migrations\2024_07_31_153706_create_roles_table.php                  | PHP        |         19 |         10 |          4 |         33 |
| c:\xampp\htdocs\logistica\database\migrations\2024_07_31_154140_create_type_clothing_table.php          | PHP        |         20 |         10 |          4 |         34 |
| c:\xampp\htdocs\logistica\database\migrations\2025_01_01_000000_create_users_table.php                  | PHP        |         42 |          6 |          6 |         54 |
| c:\xampp\htdocs\logistica\database\migrations\2025_07_30_153754_create_events_table.php                 | PHP        |         27 |         10 |          4 |         41 |
| c:\xampp\htdocs\logistica\database\migrations\2025_07_31_153645_create_logistics_table.php              | PHP        |         21 |         10 |          4 |         35 |
| c:\xampp\htdocs\logistica\database\migrations\2025_07_32_153607_create_certificates_table.php           | PHP        |         20 |         10 |          4 |         34 |
| c:\xampp\htdocs\logistica\database\migrations\2026_07_31_153726_create_assistences_table.php            | PHP        |         22 |         10 |          4 |         36 |
| c:\xampp\htdocs\logistica\database\migrations\2026_07_31_154305_create_colletion_accounts_table.php     | PHP        |         22 |         10 |          4 |         36 |
| c:\xampp\htdocs\logistica\database\migrations\2027_09_24_232101_create_solicitudes_table.php            | PHP        |         21 |          6 |          4 |         31 |
| c:\xampp\htdocs\logistica\database\seeders\DatabaseSeeder.php                                           | PHP        |         13 |          5 |          5 |         23 |
| c:\xampp\htdocs\logistica\database\seeders\RolSeeder.php                                                | PHP        |         16 |          0 |          4 |         20 |
| c:\xampp\htdocs\logistica\database\seeders\TypeCertificateSeeder.php                                    | PHP        |         14 |          0 |          4 |         18 |
| c:\xampp\htdocs\logistica\database\seeders\TypeclothingSeeder.php                                       | PHP        |         14 |          0 |          4 |         18 |
| c:\xampp\htdocs\logistica\package-lock.json                                                             | JSON       |      1,158 |          0 |          1 |      1,159 |
| c:\xampp\htdocs\logistica\package.json                                                                  | JSON       |         16 |          0 |          1 |         17 |
| c:\xampp\htdocs\logistica\phpunit.xml                                                                   | XML        |         33 |          0 |          1 |         34 |
| c:\xampp\htdocs\logistica\public\css\app.css                                                            | CSS        |          3 |          0 |          0 |          3 |
| c:\xampp\htdocs\logistica\public\css\bootstrap.min.css                                                  | CSS        |          1 |          5 |          1 |          7 |
| c:\xampp\htdocs\logistica\public\css\style.css                                                          | CSS        |        231 |          8 |         50 |        289 |
| c:\xampp\htdocs\logistica\public\index.php                                                              | PHP        |          9 |          3 |          6 |         18 |
| c:\xampp\htdocs\logistica\public\js\main.js                                                             | JavaScript |        170 |         13 |         30 |        213 |
| c:\xampp\htdocs\logistica\public\lib\chart\chart.min.js                                                 | JavaScript |          2 |         11 |          1 |         14 |
| c:\xampp\htdocs\logistica\public\lib\easing\easing.js                                                   | JavaScript |        153 |          9 |          7 |        169 |
