"filename", "language", "PHP", "JavaScript", "SCSS", "Markdown", "CSS", "JSON", "XML", "Python", "comment", "blank", "total"
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_button-group.scss", "SCSS", 0, 0, 90, 0, 0, 0, 0, 0, 23, 27, 140
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_buttons.scss", "SCSS", 0, 0, 74, 0, 0, 0, 0, 0, 16, 22, 112
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_card.scss", "SCSS", 0, 0, 153, 0, 0, 0, 0, 0, 27, 36, 216
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_carousel.scss", "SCSS", 0, 0, 158, 0, 0, 0, 0, 0, 41, 31, 230
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_close.scss", "SCSS", 0, 0, 30, 0, 0, 0, 0, 0, 5, 6, 41
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_containers.scss", "SCSS", 0, 0, 27, 0, 0, 0, 0, 0, 8, 7, 42
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_dropdown.scss", "SCSS", 0, 0, 186, 0, 0, 0, 0, 0, 19, 36, 241
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_forms.scss", "SCSS", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_functions.scss", "SCSS", 0, 0, 133, 0, 0, 0, 0, 0, 38, 35, 206
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_grid.scss", "SCSS", 0, 0, 11, 0, 0, 0, 0, 0, 6, 6, 23
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_helpers.scss", "SCSS", 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_images.scss", "SCSS", 0, 0, 22, 0, 0, 0, 0, 0, 13, 8, 43
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_list-group.scss", "SCSS", 0, 0, 111, 0, 0, 0, 0, 0, 27, 37, 175
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_mixins.scss", "SCSS", 0, 0, 25, 0, 0, 0, 0, 0, 10, 8, 43
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_modal.scss", "SCSS", 0, 0, 160, 0, 0, 0, 0, 0, 35, 34, 229
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_nav.scss", "SCSS", 0, 0, 96, 0, 0, 0, 0, 0, 20, 24, 140
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_navbar.scss", "SCSS", 0, 0, 204, 0, 0, 0, 0, 0, 47, 56, 307
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_offcanvas.scss", "SCSS", 0, 0, 68, 0, 0, 0, 0, 0, 0, 10, 78
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_pagination.scss", "SCSS", 0, 0, 51, 0, 0, 0, 0, 0, 3, 11, 65
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_popover.scss", "SCSS", 0, 0, 134, 0, 0, 0, 0, 0, 5, 20, 159
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_progress.scss", "SCSS", 0, 0, 39, 0, 0, 0, 0, 0, 3, 7, 49
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_reboot.scss", "SCSS", 0, 0, 334, 0, 0, 0, 0, 0, 146, 142, 622
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_root.scss", "SCSS", 0, 0, 11, 0, 0, 0, 0, 0, 3, 3, 17
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_spinners.scss", "SCSS", 0, 0, 49, 0, 0, 0, 0, 0, 12, 9, 70
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_tables.scss", "SCSS", 0, 0, 78, 0, 0, 0, 0, 0, 43, 30, 151
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_toasts.scss", "SCSS", 0, 0, 44, 0, 0, 0, 0, 0, 0, 8, 52
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_tooltip.scss", "SCSS", 0, 0, 93, 0, 0, 0, 0, 0, 5, 18, 116
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_transitions.scss", "SCSS", 0, 0, 16, 0, 0, 0, 0, 0, 2, 4, 22
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_type.scss", "SCSS", 0, 0, 67, 0, 0, 0, 0, 0, 16, 22, 105
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_utilities.scss", "SCSS", 0, 0, 551, 0, 0, 0, 0, 0, 41, 3, 595
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\_variables.scss", "SCSS", 0, 0, 955, 0, 0, 0, 0, 0, 231, 279, 1465
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\bootstrap-grid.scss", "SCSS", 0, 0, 50, 0, 0, 0, 0, 0, 8, 8, 66
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\bootstrap-reboot.scss", "SCSS", 0, 0, 6, 0, 0, 0, 0, 0, 8, 2, 16
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\bootstrap-utilities.scss", "SCSS", 0, 0, 6, 0, 0, 0, 0, 0, 9, 4, 19
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\bootstrap.scss", "SCSS", 0, 0, 36, 0, 0, 0, 0, 0, 12, 5, 53
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\forms\_floating-labels.scss", "SCSS", 0, 0, 51, 0, 0, 0, 0, 0, 4, 7, 62
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\forms\_form-check.scss", "SCSS", 0, 0, 119, 0, 0, 0, 0, 0, 9, 25, 153
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\forms\_form-control.scss", "SCSS", 0, 0, 156, 0, 0, 0, 0, 0, 33, 31, 220
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\forms\_form-range.scss", "SCSS", 0, 0, 71, 0, 0, 0, 0, 0, 7, 14, 92
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\forms\_form-select.scss", "SCSS", 0, 0, 54, 0, 0, 0, 0, 0, 6, 8, 68
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\forms\_form-text.scss", "SCSS", 0, 0, 7, 0, 0, 0, 0, 0, 3, 2, 12
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\forms\_input-group.scss", "SCSS", 0, 0, 81, 0, 0, 0, 0, 0, 21, 20, 122
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\forms\_labels.scss", "SCSS", 0, 0, 27, 0, 0, 0, 0, 0, 5, 5, 37
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\forms\_validation.scss", "SCSS", 0, 0, 3, 0, 0, 0, 0, 0, 8, 2, 13
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\helpers\_clearfix.scss", "SCSS", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\helpers\_colored-links.scss", "SCSS", 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\helpers\_position.scss", "SCSS", 0, 0, 24, 0, 0, 0, 0, 0, 2, 5, 31
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\helpers\_ratio.scss", "SCSS", 0, 0, 21, 0, 0, 0, 0, 0, 1, 5, 27
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\helpers\_stretched-link.scss", "SCSS", 0, 0, 11, 0, 0, 0, 0, 0, 3, 2, 16
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\helpers\_text-truncation.scss", "SCSS", 0, 0, 3, 0, 0, 0, 0, 0, 3, 2, 8
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\helpers\_visually-hidden.scss", "SCSS", 0, 0, 4, 0, 0, 0, 0, 0, 3, 2, 9
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\mixins\_alert.scss", "SCSS", 0, 0, 8, 0, 0, 0, 0, 0, 2, 2, 12
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\mixins\_border-radius.scss", "SCSS", 0, 0, 63, 0, 0, 0, 0, 0, 5, 11, 79
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\mixins\_box-shadow.scss", "SCSS", 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\mixins\_breakpoints.scss", "SCSS", 0, 0, 73, 0, 0, 0, 0, 0, 44, 11, 128
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\mixins\_buttons.scss", "SCSS", 0, 0, 104, 0, 0, 0, 0, 0, 16, 14, 134
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\mixins\_caret.scss", "SCSS", 0, 0, 55, 0, 0, 0, 0, 0, 2, 8, 65
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\mixins\_clearfix.scss", "SCSS", 0, 0, 7, 0, 0, 0, 0, 0, 2, 1, 10
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\mixins\_color-scheme.scss", "SCSS", 0, 0, 5, 0, 0, 0, 0, 0, 2, 1, 8
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\mixins\_container.scss", "SCSS", 0, 0, 7, 0, 0, 0, 0, 0, 1, 2, 10
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\mixins\_deprecate.scss", "SCSS", 0, 0, 5, 0, 0, 0, 0, 0, 5, 1, 11
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\mixins\_forms.scss", "SCSS", 0, 0, 116, 0, 0, 0, 0, 0, 5, 17, 138
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\mixins\_gradients.scss", "SCSS", 0, 0, 27, 0, 0, 0, 0, 0, 11, 10, 48
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\mixins\_grid.scss", "SCSS", 0, 0, 88, 0, 0, 0, 0, 0, 21, 17, 126
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\mixins\_image.scss", "SCSS", 0, 0, 4, 0, 0, 0, 0, 0, 9, 4, 17
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\mixins\_list-group.scss", "SCSS", 0, 0, 18, 0, 0, 0, 0, 0, 3, 4, 25
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\mixins\_lists.scss", "SCSS", 0, 0, 4, 0, 0, 0, 0, 0, 2, 2, 8
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\mixins\_pagination.scss", "SCSS", 0, 0, 24, 0, 0, 0, 0, 0, 4, 4, 32
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\mixins\_reset-text.scss", "SCSS", 0, 0, 16, 0, 0, 0, 0, 0, 1, 1, 18
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\mixins\_resize.scss", "SCSS", 0, 0, 4, 0, 0, 0, 0, 0, 1, 2, 7
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\mixins\_table-variants.scss", "SCSS", 0, 0, 17, 0, 0, 0, 0, 0, 2, 3, 22
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\mixins\_text-truncate.scss", "SCSS", 0, 0, 5, 0, 0, 0, 0, 0, 2, 2, 9
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\mixins\_transition.scss", "SCSS", 0, 0, 22, 0, 0, 0, 0, 0, 1, 4, 27
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\mixins\_utilities.scss", "SCSS", 0, 0, 45, 0, 0, 0, 0, 0, 11, 13, 69
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\mixins\_visually-hidden.scss", "SCSS", 0, 0, 16, 0, 0, 0, 0, 0, 9, 5, 30
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\utilities\_api.scss", "SCSS", 0, 0, 29, 0, 0, 0, 0, 0, 12, 7, 48
"c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\vendor\_rfs.scss", "SCSS", 0, 0, 202, 0, 0, 0, 0, 0, 52, 59, 313
"c:\xampp\htdocs\logistica\resources\css\app.css", "CSS", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\xampp\htdocs\logistica\resources\js\app.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\logistica\resources\js\bootstrap.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 23, 8, 35
"c:\xampp\htdocs\logistica\resources\lang\es\auth.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\xampp\htdocs\logistica\resources\sass\_variables.scss", "SCSS", 0, 0, 4, 0, 0, 0, 0, 0, 2, 2, 8
"c:\xampp\htdocs\logistica\resources\sass\app.scss", "SCSS", 0, 0, 3, 0, 0, 0, 0, 0, 3, 3, 9
"c:\xampp\htdocs\logistica\resources\views\assistences\create.blade.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"c:\xampp\htdocs\logistica\resources\views\assistences\destroy.blade.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28
"c:\xampp\htdocs\logistica\resources\views\assistences\edit.blade.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30
"c:\xampp\htdocs\logistica\resources\views\assistences\index.blade.php", "PHP", 71, 0, 0, 0, 0, 0, 0, 0, 0, 3, 74
"c:\xampp\htdocs\logistica\resources\views\assistences\show.blade.php", "PHP", 54, 0, 0, 0, 0, 0, 0, 0, 0, 3, 57
"c:\xampp\htdocs\logistica\resources\views\auth\edit.blade.php", "PHP", 94, 0, 0, 0, 0, 0, 0, 0, 0, 7, 101
